account,lower_block,upper_block,unreleased
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,44638715,60539915,408882.79859166750000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,60539915,,0.00000000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,13102715,13102716,1485880.50750000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,13102716,29003915,1114410.38062500000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,29003915,44638715,742940.25375000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,44638715,60539915,371470.12687500000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,60539915,,0.00000000000000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,13102715,13102716,1666666.66666667000000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,13102716,29003915,1250000.00000000250000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,29003915,44638715,833333.33333333500000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,44638715,60539915,416666.66666666750000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,60539915,,0.00000000000000000000000000000000
