nft_receiver,team,raw_amount,amount,block_time,tx_hash
\x4b554240d58a9d75326f8031b7087903034e66fc,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4a60a526c642ce63cf3af8ff68b3f5f222611fbe,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4a2dd4b190b6dee6939709278b659ed5ffcb9d92,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x489ef5fc27e7bbfa4cfa1c8d5ec197da3d1bae54,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4614267ee9e61ed08b91607f90ab9553eba2a559,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x45e89079fa328095804e37f9cccec43780326c3b,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x446a3e8dea79f232ebf35010b39578c30c8e7f94,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff79ad62d19066e43b99eed19f94e11b0e0b5688,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff78bad7f3fefbf552a2978e1455d0126da9ba76,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff659f9c29d69a078f0d868ceb18e9c6e7d8f4fe,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfed242184ba67298d7c0e7c228da4512abcf5e94,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfea310e868466201e881866e75232e1bc2b86e0c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfdd4186383fafd6bd41d0c59ed84708dfde004ff,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfd3719bef669f5cebbda47b69e7814cf413e9517,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
