rewards_to_collect_till_now,projected_rewards_to_collect,rewards_till_now,projected_rewards,account,last_sync_time,last_sync_time_epoch,now_utc,now_epoch,last_redeem_time,last_redeem_time_epoch,last_collect_time,last_collect_time_epoch,basic_start,seed_start,program_end,actual_stake,virtual_stake,actual_base,virtual_base,last_sync_reward,total_boost,collected_rewards
7876.967314392068,16560.071887673006,7876.967314392068,16560.071887673006,\x48a91a2fdc5953745db8a9277602cf25349cded5,2021-08-23T13:30:10+00:00,1629725410,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-24T13:13:35+00:00,1627132415,,0,1627387200,1630065600,1642424400,123751.374900000000,0.000000000000000000000000000000000000,5787,7032,2483.9898879115238880,3170,0
7696.241218800364,16065.608543712,7696.241218800364,16065.608543712,\xd1a0931de7a002d0d47117404bcbb3443fafb618,2021-07-27T12:30:00+00:00,1627389000,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-26T13:42:30+00:00,1627306950,,0,1627387200,1630065600,1642424400,119280.000000000000,0.000000000000000000000000000000000000,5787,7032,1.9231037280000000,3170,0
2915.05151817856,12272.230631650002,6326.76377307856,15683.942886550001,\xe2f3c30b753f71bdbf1258d6e09fd3d2adf549db,2021-09-26T17:24:10+00:00,1632677050,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-22T11:10:35+00:00,1632309035,2021-09-20T13:46:35+00:00,1632145595,1627387200,1630065600,1642424400,110000.000000000000,0.000000000000000000000000000000000000,5787,7032,4040.8307850500000000,5072,3411.7122549000000000
114.55850464777268,7705.3339895756535,6733.208555804189,14323.98404073207,\xd5c196b5b67e624738d85ab5a98534e68fd2c88e,2021-10-17T13:40:45+00:00,1634478045,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-29T10:40:00+00:00,1627555200,2021-10-17T12:09:13+00:00,1634472553,1627387200,1630065600,1642424400,118677.266000000000,0.000000000000000000000000000000000000,5787,7032,6623.9670240078336600,2378,6618.6500511564164840
67.89501786088022,7387.653134438999,6450.63249562588,13770.390612203999,\xe0e03ba22e14776dc972a50e6cca5ceedb3b972c,2021-10-18T00:48:40+00:00,1634518120,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T01:04:40+00:00,1631927080,2021-10-18T00:48:40+00:00,1634518120,1627387200,1630065600,1642424400,97425.000000000000,0.000000000000000000000000000000000000,5787,7032,6382.7374777650000000,3804,6382.7374777650000000
66.2843492837028,7204.0465502325,6422.300750226203,13560.062951175,\xe4126fd057ab2fc08b6ce2621de4c3bc56464101,2021-10-18T00:47:15+00:00,1634518035,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T01:01:40+00:00,1631926900,2021-10-18T00:47:15+00:00,1634518035,1627387200,1630065600,1642424400,98250.000000000000,0.000000000000000000000000000000000000,5787,7032,6356.0164009425000000,3487,6356.0164009425000000
5761.311632339743,13190.719669560416,5761.311632339743,13190.719669560416,\xa21392dd4b12cb543fb6d1e4e8759b3ac6e55169,2021-08-16T01:08:05+00:00,1629076085,2021-10-18T20:59:41+00:00,1634590781.373246,,0,,0,1627387200,1630065600,1642424400,163884.660000000000,0.000000000000000000000000000000000000,5787,7032,531.1706833921194000,0,0
33.73089205632232,10084.039308749216,2807.734866505883,12858.043283198776,\xd24c941f5edbe451395544658c0df6df056c6ad0,2021-10-18T13:42:55+00:00,1634564575,2021-10-18T20:59:41+00:00,1634590781.373246,,0,2021-10-18T13:41:30+00:00,1634564490,1627387200,1630065600,1642424400,221698.871500000000,0.000000000000000000000000000000000000,5787,7032,2774.1128399362862964,0,2774.0039744495605419
63.01531038664507,6868.86893102025,5997.740263953945,12803.59388458755,\xb5ebf7fac6f40583261758a7347e8eaa41935524,2021-10-18T00:50:50+00:00,1634518250,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T01:06:45+00:00,1631927205,2021-10-18T00:50:50+00:00,1634518250,1627387200,1630065600,1642424400,90585.000000000000,0.000000000000000000000000000000000000,5787,7032,5934.7249535673000000,3804,5934.7249535673000000
1552.8916860074496,8498.606446800244,5659.265045111125,12604.979805903919,\x7f4edb8fca00cd0e8b02cdcf46cd0be76ce4c773,2021-10-06T14:29:30+00:00,1633530570,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T04:44:25+00:00,1631940265,2021-09-28T14:29:35+00:00,1632839375,1627387200,1630065600,1642424400,84106.877100000000,0.000000000000000000000000000000000000,5787,7032,4719.2236497379940105,4755,4106.3733591036756515
278.68110357837577,6738.909297508116,5933.875309506776,12394.103503436516,\x107cd74419dfc9ff01975e652597c5a4b6706460,2021-10-18T17:27:25+00:00,1634578045,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-27T14:17:10+00:00,1627395430,2021-10-14T23:07:35+00:00,1634252855,1627387200,1630065600,1642424400,92071.000000000000,0.000000000000000000000000000000000000,5787,7032,5923.3718778933300000,3170,5655.1942059284000000
122.6471948997114,7534.038595014856,4883.484377120434,12294.875777235578,\xf3551c1d8ac61569e482abc05eefae4cccef32c1,2021-10-17T09:01:10+00:00,1634461270,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T08:02:00+00:00,1631952120,2021-10-17T08:59:05+00:00,1634461145,1627387200,1630065600,1642424400,89745.837123655721,0.000000000000000000000000000000000000,5787,7032,4760.9535872484358135,4755,4760.8371822207228662
5712.101803958497,12180.63232124845,5712.101803958497,12180.63232124845,\x48888508116d8fa0165217582a38997d72a125c2,2021-07-30T19:27:05+00:00,1627673225,2021-10-18T20:59:41+00:00,1634590781.373246,,0,,0,1627387200,1630065600,1642424400,142688.747100000000,0.000000000000000000000000000000000000,5787,7032,0.00032985900000000000,0,0
5807.023052414761,12121.938036,5807.023052414761,12121.938036,\x6a9ee69b6781c18164ee9f7c58f1763bcffc7c51,2021-07-27T12:18:00+00:00,1627388280,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-26T17:18:45+00:00,1627319925,,0,1627387200,1630065600,1642424400,90000.000000000000,0.000000000000000000000000000000000000,5787,7032,0.87062040000000000000,3170,0
39.594523288200435,6645.0610851700785,5514.364094280731,12119.830656162609,\x1d932e6489b5e4091ee078db497799237b354191,2021-10-18T07:58:10+00:00,1634543890,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T07:48:55+00:00,1631951335,2021-10-18T07:57:05+00:00,1634543825,1627387200,1630065600,1642424400,85105.000000000000,0.000000000000000000000000000000000000,5787,7032,5474.8243345892100000,4121,5474.7695709925300000
319.32824157667073,7176.866204093964,5118.327383348511,11975.865345865805,\x2e5b27a6ee216c90f6f42bfeadd7cd25888e5be3,2021-10-14T15:40:55+00:00,1634226055,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-23T11:15:00+00:00,1632395700,2021-10-14T15:40:00+00:00,1634226000,1627387200,1630065600,1642424400,74123.496680627020,0.000000000000000000000000000000000000,5787,7032,4799.0464648310679319,6023,4798.9991417718406306
9.34532287969705,6140.046350963575,4843.1908788033315,10973.89190688721,\x8d339490827b323295da0a003096e18b0dd99a2f,2021-10-18T17:45:20+00:00,1634579120,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T20:24:50+00:00,1631996690,2021-10-18T17:40:40+00:00,1634578840,1627387200,1630065600,1642424400,74237.733000000000,0.000000000000000000000000000000000000,5787,7032,4834.0645227277778315,4755,4833.8455559236340795
456.0017269784612,6230.464418794147,4843.377622041601,10617.840313857287,\x542af4dda22ae22bae41ea32fafcfb6af00d8ac5,2021-10-11T17:11:26+00:00,1633972286,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T18:12:25+00:00,1631902345,2021-10-11T17:09:30+00:00,1633972170,1627387200,1630065600,1642424400,74398.324900000000,0.000000000000000000000000000000000000,5787,7032,4387.4608065775746831,4121,4387.3758950631395935
77.16942995089357,6163.331421313681,4225.830545112407,10311.992536475194,\x7d3a7ad44bfcfc0962709ece4c149128717906b8,2021-10-17T17:25:40+00:00,1634491540,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T16:50:05+00:00,1631897405,2021-10-17T17:24:15+00:00,1634491455,1627387200,1630065600,1642424400,73698.402000000000,0.000000000000000000000000000000000000,5787,7032,4148.7270885109655100,4755,4148.6611151615138220
316.0887671853866,6676.185718528325,3711.4410339312585,10071.537985274197,\x97cd70611075e6eae5d64a9908d6fe2592438c88,2021-10-14T08:51:55+00:00,1634201515,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-24T18:09:35+00:00,1627150175,2021-10-14T08:51:00+00:00,1634201460,1627387200,1630065600,1642424400,90643.932200000000,0.000000000000000000000000000000000000,5787,7032,3395.3965605270453795,3170,3395.3522667458720235
69.22924257312661,5464.2763722008085,4404.047531069325,9799.094660697006,\x6e2a2acc7253d38e0891f439a9815bed3771e305,2021-10-17T17:05:35+00:00,1634490335,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T16:11:45+00:00,1631895105,2021-10-17T17:04:20+00:00,1634490260,1627387200,1630065600,1642424400,69509.925100000004,0.000000000000000000000000000000000000,5787,7032,4334.8696780894371191,4121,4334.8182884961981191
52.136019571260476,5434.408948156639,4333.677564535374,9715.950493120752,\x253a1dc6bbad8a62a8e8f7b21214fea2b78cb77e,2021-10-17T23:56:50+00:00,1634515010,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T16:18:15+00:00,1631895495,2021-10-17T23:55:00+00:00,1634514900,1627387200,1630065600,1642424400,65174.886000000000,0.000000000000000000000000000000000000,5787,7032,4281.6170506892420378,4755,4281.5415449641135118
311.15174615310025,5379.383872668974,4082.1348419027768,9150.36696841865,\xb3bd192d80fa4f40a1d851e81c9cf196a3a7d632,2021-10-13T07:27:18+00:00,1634110038,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T16:54:05+00:00,1631897645,2021-10-13T07:24:15+00:00,1634109855,1627387200,1630065600,1642424400,61372.110900000000,0.000000000000000000000000000000000000,5787,7032,3771.1011900252972148,4755,3770.9830957496765200
37.202458128436774,4799.944681499538,4199.174090558231,8961.916313929332,\x1bfb9fb63d45f7d50520e0a3059504013cdfe8fd,2021-10-18T04:00:55+00:00,1634529655,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-27T02:49:15+00:00,1627354155,2021-10-18T03:59:50+00:00,1634529590,1627387200,1630065600,1642424400,67878.475200000000,0.000000000000000000000000000000000000,5787,7032,4162.0100195597066650,3170,4161.9716324297943065
38.534976585604,4758.484850201399,3910.060900419371,8630.010774035167,\xbd0ec71b9ada90ac6c1428cafd45fe2fca367665,2021-10-18T03:15:15+00:00,1634526915,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-19T07:02:55+00:00,1632034975,2021-10-18T03:13:45+00:00,1634526825,1627387200,1630065600,1642424400,60811.954800000000,0.000000000000000000000000000000000000,5787,7032,3871.5798235769249420,4121,3871.5259238337670580
4122.46691591253,8627.10627087,4122.46691591253,8627.10627087,\xba74377de2bc1d752537958960068122c3ec960d,2021-07-28T15:07:45+00:00,1627484865,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-28T15:07:45+00:00,1627484865,,0,1627387200,1630065600,1642424400,64200.000000000000,0.000000000000000000000000000000000000,5787,7032,36.2850281910000000,3170,0
