g_time,message,node_time
2021-12-13 22:54:10.598599+00:00,"2021-12-13T22:54:06.200Z hopr:cover-traffic strategy tick: 1639436046200 balance:5833942472499236912 open: close: 
",2021-12-13T22:54:06.200Z
2021-12-13 22:54:22.043318+00:00,"2021-12-13T22:54:17.319Z hopr:cover-traffic strategy tick: 1639436057319 balance:5833942472499236912 open: close: 
",2021-12-13T22:54:17.319Z
2021-12-13 22:54:34.249657+00:00,"2021-12-13T22:54:28.423Z hopr:cover-traffic strategy tick: 1639436068423 balance:5833942472499236912 open: close: 
",2021-12-13T22:54:28.423Z
2021-12-13 22:54:40.355165+00:00,"2021-12-13T22:54:39.615Z hopr:cover-traffic strategy tick: 1639436079615 balance:5833942472499236912 open: close: 
",2021-12-13T22:54:39.615Z
2021-12-13 22:54:53.154907+00:00,"2021-12-13T22:54:50.732Z hopr:cover-traffic strategy tick: 1639436090732 balance:5833942472499236912 open: close: 
",2021-12-13T22:54:50.732Z
2021-12-13 22:55:05.272686+00:00,"2021-12-13T22:55:01.821Z hopr:cover-traffic strategy tick: 1639436101821 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:01.821Z
2021-12-13 22:55:19.361674+00:00,"2021-12-13T22:55:13.008Z hopr:cover-traffic strategy tick: 1639436113008 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:13.008Z
2021-12-13 22:55:25.391511+00:00,"2021-12-13T22:55:24.059Z hopr:cover-traffic strategy tick: 1639436124059 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:24.059Z
2021-12-13 22:55:40.245000+00:00,"2021-12-13T22:55:35.165Z hopr:cover-traffic strategy tick: 1639436135165 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:35.165Z
2021-12-13 22:55:52.173491+00:00,"2021-12-13T22:55:46.369Z hopr:cover-traffic strategy tick: 1639436146369 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:46.369Z
2021-12-13 22:56:02.360731+00:00,"2021-12-13T22:55:57.476Z hopr:cover-traffic strategy tick: 1639436157476 balance:5833942472499236912 open: close: 
",2021-12-13T22:55:57.476Z
2021-12-13 22:56:12.210794+00:00,"2021-12-13T22:56:08.630Z hopr:cover-traffic strategy tick: 1639436168630 balance:5833942472499236912 open: close: 
",2021-12-13T22:56:08.630Z
2021-12-13 22:56:23.350173+00:00,"2021-12-13T22:56:19.762Z hopr:cover-traffic strategy tick: 1639436179762 balance:5833942472499236912 open: close: 
",2021-12-13T22:56:19.762Z
2021-12-13 22:56:33.239137+00:00,"2021-12-13T22:56:30.892Z hopr:cover-traffic strategy tick: 1639436190892 balance:5833942472499236912 open: close: 
",2021-12-13T22:56:30.892Z
2021-12-13 22:56:44.469532+00:00,"2021-12-13T22:56:41.978Z hopr:cover-traffic strategy tick: 1639436201978 balance:5833942472499236912 open: close: 
",2021-12-13T22:56:41.978Z
2021-12-13 22:56:54.125897+00:00,"2021-12-13T22:56:53.137Z hopr:cover-traffic strategy tick: 1639436213137 balance:5833942472499236912 open: close: 
",2021-12-13T22:56:53.137Z
2021-12-13 22:57:09.254169+00:00,"2021-12-13T22:57:04.244Z hopr:cover-traffic strategy tick: 1639436224244 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:04.244Z
2021-12-13 22:57:19.336075+00:00,"2021-12-13T22:57:15.313Z hopr:cover-traffic strategy tick: 1639436235313 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:15.313Z
2021-12-13 22:57:30.368148+00:00,"2021-12-13T22:57:26.481Z hopr:cover-traffic strategy tick: 1639436246481 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:26.481Z
2021-12-13 22:57:40.371513+00:00,"2021-12-13T22:57:37.570Z hopr:cover-traffic strategy tick: 1639436257569 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:37.570Z
2021-12-13 22:57:50.371646+00:00,"2021-12-13T22:57:48.698Z hopr:cover-traffic strategy tick: 1639436268697 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:48.698Z
2021-12-13 22:58:00.195470+00:00,"2021-12-13T22:57:59.825Z hopr:cover-traffic strategy tick: 1639436279825 balance:5833942472499236912 open: close: 
",2021-12-13T22:57:59.825Z
2021-12-13 22:58:15.273766+00:00,"2021-12-13T22:58:10.938Z hopr:cover-traffic strategy tick: 1639436290938 balance:5833942472499236912 open: close: 
",2021-12-13T22:58:10.938Z
2021-12-13 22:58:25.462763+00:00,"2021-12-13T22:58:22.031Z hopr:cover-traffic strategy tick: 1639436302031 balance:5833942472499236912 open: close: 
",2021-12-13T22:58:22.031Z
2021-12-13 22:58:35.512680+00:00,"2021-12-13T22:58:33.201Z hopr:cover-traffic strategy tick: 1639436313201 balance:5833942472499236912 open: close: 
",2021-12-13T22:58:33.201Z
2021-12-13 22:58:45.599816+00:00,"2021-12-13T22:58:44.256Z hopr:cover-traffic strategy tick: 1639436324256 balance:5833942472499236912 open: close: 
",2021-12-13T22:58:44.256Z
2021-12-13 22:59:00.548607+00:00,"2021-12-13T22:58:55.396Z hopr:cover-traffic strategy tick: 1639436335396 balance:5833942472499236912 open: close: 
",2021-12-13T22:58:55.396Z
2021-12-13 22:59:10.427297+00:00,"2021-12-13T22:59:06.516Z hopr:cover-traffic strategy tick: 1639436346516 balance:5833942472499236912 open: close: 
",2021-12-13T22:59:06.516Z
2021-12-13 22:59:20.546767+00:00,"2021-12-13T22:59:17.609Z hopr:cover-traffic strategy tick: 1639436357609 balance:5833942472499236912 open: close: 
",2021-12-13T22:59:17.609Z
2021-12-13 22:59:31.569737+00:00,"2021-12-13T22:59:28.695Z hopr:cover-traffic strategy tick: 1639436368695 balance:5833942472499236912 open: close: 
",2021-12-13T22:59:28.695Z
2021-12-13 22:59:41.580189+00:00,"2021-12-13T22:59:39.843Z hopr:cover-traffic strategy tick: 1639436379843 balance:5833942472499236912 open: close: 
",2021-12-13T22:59:39.843Z
2021-12-13 22:59:51.159123+00:00,"2021-12-13T22:59:50.969Z hopr:cover-traffic strategy tick: 1639436390969 balance:5833942472499236912 open: close: 
",2021-12-13T22:59:50.969Z
2021-12-13 23:00:07.113046+00:00,"2021-12-13T23:00:02.078Z hopr:cover-traffic strategy tick: 1639436402078 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:02.078Z
2021-12-13 23:00:17.141224+00:00,"2021-12-13T23:00:13.224Z hopr:cover-traffic strategy tick: 1639436413224 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:13.224Z
2021-12-13 23:00:27.141343+00:00,"2021-12-13T23:00:24.298Z hopr:cover-traffic strategy tick: 1639436424298 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:24.298Z
2021-12-13 23:00:37.191382+00:00,"2021-12-13T23:00:35.414Z hopr:cover-traffic strategy tick: 1639436435414 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:35.414Z
2021-12-13 23:00:47.263694+00:00,"2021-12-13T23:00:46.540Z hopr:cover-traffic strategy tick: 1639436446540 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:46.540Z
2021-12-13 23:01:02.193341+00:00,"2021-12-13T23:00:57.700Z hopr:cover-traffic strategy tick: 1639436457700 balance:5833942472499236912 open: close: 
",2021-12-13T23:00:57.700Z
2021-12-13 23:01:12.277368+00:00,"2021-12-13T23:01:08.764Z hopr:cover-traffic strategy tick: 1639436468764 balance:5833942472499236912 open: close: 
",2021-12-13T23:01:08.764Z
2021-12-13 23:01:22.302172+00:00,"2021-12-13T23:01:19.910Z hopr:cover-traffic strategy tick: 1639436479910 balance:5833942472499236912 open: close: 
",2021-12-13T23:01:19.910Z
