insertId,"jsonPayload.""cos.googleapis.com/container_id""","jsonPayload.""cos.googleapis.com/stream""",jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
xtv3itsfbe6oxntab,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:24.387Z hopr:cover-traffic strategy tick: 1633533564387 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:19:25.976310194Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:24.388658547Z
xtv3itsfbe6oxnsrw,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:14.179Z hopr:cover-traffic strategy tick: 1633533554179 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:19:14.896657455Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:14.181640342Z
xtv3itsfbe6oxnsif,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:03.681Z hopr:cover-traffic strategy tick: 1633533543680 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:19:03.730364578Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:03.682000544Z
xtv3itsfbe6oxnrzo,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:53.465Z hopr:cover-traffic strategy tick: 1633533533465 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:58.799676507Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:53.466333175Z
xtv3itsfbe6oxnrqw,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:43.242Z hopr:cover-traffic strategy tick: 1633533523242 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:46.955306512Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:43.243839096Z
xtv3itsfbe6oxnrgw,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:32.833Z hopr:cover-traffic strategy tick: 1633533512833 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:34.963623816Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:32.835079387Z
xtv3itsfbe6oxnqxi,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:22.586Z hopr:cover-traffic strategy tick: 1633533502586 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:24.916887364Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:22.587405350Z
xtv3itsfbe6oxnqop,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:12.336Z hopr:cover-traffic strategy tick: 1633533492336 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:13.929998404Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:12.337921597Z
xtv3itsfbe6oxnqfk,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:18:01.976Z hopr:cover-traffic strategy tick: 1633533481976 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:18:02.788373208Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:18:01.978589296Z
xtv3itsfbe6oxnpwh,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:17:51.634Z hopr:cover-traffic strategy tick: 1633533471634 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:17:51.845499578Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:17:51.635960635Z
